time,bodyPosX_ref,bodyPosX_cur,bodyPosY_ref,bodyPosY_cur,bodyPosZ_ref,bodyPosZ_cur
0.726000,0.000000,-0.006592,-0.000000,0.000948,0.593700,0.578474
0.728000,0.000000,-0.006561,-0.000000,0.000945,0.593700,0.578673
0.730000,0.000000,-0.006531,-0.000000,0.000943,0.593700,0.578870
0.732000,0.000000,-0.006500,-0.000000,0.000940,0.593700,0.579066
0.734000,0.000000,-0.006470,-0.000000,0.000938,0.593700,0.579260
0.736000,0.000000,-0.006439,-0.000000,0.000936,0.593700,0.579453
0.738000,0.000000,-0.006408,-0.000000,0.000933,0.593700,0.579643
0.740000,0.000000,-0.006377,-0.000000,0.000931,0.593700,0.579832
0.742000,0.000000,-0.006346,-0.000000,0.000929,0.593700,0.580019
0.744000,0.000000,-0.006315,-0.000000,0.000927,0.593700,0.580204
0.746000,0.000000,-0.006285,-0.000000,0.000925,0.593700,0.580387
0.748000,0.000000,-0.006254,-0.000000,0.000924,0.593700,0.580568
0.750000,0.000000,-0.006223,-0.000000,0.000922,0.593700,0.580748
0.752000,0.000000,-0.006192,-0.000000,0.000920,0.593700,0.580925
0.754000,0.000000,-0.006162,-0.000000,0.000918,0.593700,0.581101
0.756000,0.000000,-0.006131,-0.000000,0.000917,0.593700,0.581275
0.758000,0.000000,-0.006100,-0.000000,0.000915,0.593700,0.581447
0.760000,0.000000,-0.006070,-0.000000,0.000914,0.593700,0.581617
0.762000,0.000000,-0.006040,-0.000000,0.000912,0.593700,0.581785
0.764000,0.000000,-0.006009,-0.000000,0.000911,0.593700,0.581952
0.766000,0.000000,-0.005979,-0.000000,0.000910,0.593700,0.582117
0.768000,0.000000,-0.005949,-0.000000,0.000908,0.593700,0.582280
0.770000,0.000000,-0.005919,-0.000000,0.000907,0.593700,0.582441
0.772000,0.000000,-0.005889,-0.000000,0.000906,0.593700,0.582601
0.774000,0.000000,-0.005859,-0.000000,0.000904,0.593700,0.582758
0.776000,0.000000,-0.005829,-0.000000,0.000903,0.593700,0.582915
0.778000,0.000000,-0.005799,-0.000000,0.000902,0.593700,0.583069
0.780000,0.000000,-0.005769,-0.000000,0.000901,0.593700,0.583222
0.782000,0.000000,-0.005740,-0.000000,0.000900,0.593700,0.583373
0.784000,0.000000,-0.005710,-0.000000,0.000899,0.593700,0.583523
0.786000,0.000000,-0.005681,-0.000000,0.000898,0.593700,0.583671
0.788000,0.000000,-0.005651,-0.000000,0.000897,0.593700,0.583818
0.790000,0.000000,-0.005622,-0.000000,0.000896,0.593700,0.583963
0.792000,0.000000,-0.005593,-0.000000,0.000895,0.593700,0.584107
0.794000,0.000000,-0.005564,-0.000000,0.000894,0.593700,0.584249
0.796000,0.000000,-0.005535,-0.000000,0.000893,0.593700,0.584390
0.798000,0.000000,-0.005506,-0.000000,0.000892,0.593700,0.584529
0.800000,0.000000,-0.005477,-0.000000,0.000891,0.593700,0.584667
0.802000,0.000000,-0.005449,-0.000000,0.000890,0.593700,0.584804
0.804000,0.000000,-0.005420,-0.000000,0.000889,0.593700,0.584939
0.806000,0.000000,-0.005392,-0.000000,0.000888,0.593700,0.585073
0.808000,0.000000,-0.005364,-0.000000,0.000887,0.593700,0.585206
0.810000,0.000000,-0.005336,-0.000000,0.000887,0.593700,0.585337
0.812000,0.000000,-0.005308,-0.000000,0.000886,0.593700,0.585467
0.814000,0.000000,-0.005280,-0.000000,0.000885,0.593700,0.585596
0.816000,0.000000,-0.005252,-0.000000,0.000884,0.593700,0.585723
0.818000,0.000000,-0.005224,-0.000000,0.000883,0.593700,0.585850
0.820000,0.000000,-0.005197,-0.000000,0.000883,0.593700,0.585975
0.822000,0.000000,-0.005170,-0.000000,0.000882,0.593700,0.586099
0.824000,0.000000,-0.005143,-0.000000,0.000881,0.593700,0.586221
0.826000,0.000000,-0.005116,-0.000000,0.000880,0.593700,0.586343
0.828000,0.000000,-0.005089,-0.000000,0.000880,0.593700,0.586463
0.830000,0.000000,-0.005062,-0.000000,0.000879,0.593700,0.586583
0.832000,0.000000,-0.005036,-0.000000,0.000878,0.593700,0.586701
0.834000,0.000000,-0.005009,-0.000000,0.000878,0.593700,0.586818
0.836000,0.000000,-0.004983,-0.000000,0.000877,0.593700,0.586933
0.838000,0.000000,-0.004957,-0.000000,0.000876,0.593700,0.587048
0.840000,0.000000,-0.004931,-0.000000,0.000876,0.593700,0.587162
0.842000,0.000000,-0.004905,-0.000000,0.000875,0.593700,0.587274
0.844000,0.000000,-0.004880,-0.000000,0.000874,0.593700,0.587386
0.846000,0.000000,-0.004855,-0.000000,0.000874,0.593700,0.587496
0.848000,0.000000,-0.004829,-0.000000,0.000873,0.593700,0.587605
0.850000,0.000000,-0.004804,-0.000000,0.000872,0.593700,0.587714
0.852000,0.000000,-0.004779,-0.000000,0.000872,0.593700,0.587821
0.854000,0.000000,-0.004755,-0.000000,0.000871,0.593700,0.587927
0.856000,0.000000,-0.004730,-0.000000,0.000871,0.593700,0.588032
0.858000,0.000000,-0.004706,-0.000000,0.000870,0.593700,0.588137
0.860000,0.000000,-0.004682,-0.000000,0.000869,0.593700,0.588240
0.862000,0.000000,-0.004658,-0.000000,0.000869,0.593700,0.588342
0.864000,0.000000,-0.004634,-0.000000,0.000868,0.593700,0.588443
0.866000,0.000000,-0.004610,-0.000000,0.000868,0.593700,0.588544
0.868000,0.000000,-0.004587,-0.000000,0.000867,0.593700,0.588643
0.870000,0.000000,-0.004563,-0.000000,0.000867,0.593700,0.588741
0.872000,0.000000,-0.004540,-0.000000,0.000866,0.593700,0.588839
0.874000,0.000000,-0.004517,-0.000000,0.000865,0.593700,0.588935
0.876000,0.000000,-0.004494,-0.000000,0.000865,0.593700,0.589031
0.878000,0.000000,-0.004472,-0.000000,0.000864,0.593700,0.589125
0.880000,0.000000,-0.004449,-0.000000,0.000864,0.593700,0.589219
0.882000,0.000000,-0.004427,-0.000000,0.000863,0.593700,0.589312
0.884000,0.000000,-0.004405,-0.000000,0.000863,0.593700,0.589404
0.886000,0.000000,-0.004383,-0.000000,0.000862,0.593700,0.589494
0.888000,0.000000,-0.004361,-0.000000,0.000862,0.593700,0.589585
0.890000,0.000000,-0.004340,-0.000000,0.000861,0.593700,0.589674
0.892000,0.000000,-0.004318,-0.000000,0.000861,0.593700,0.589762
0.894000,0.000000,-0.004297,-0.000000,0.000860,0.593700,0.589850
0.896000,0.000000,-0.004276,-0.000000,0.000860,0.593700,0.589936
0.898000,0.000000,-0.004255,-0.000000,0.000859,0.593700,0.590022
0.900000,0.000000,-0.004234,-0.000000,0.000859,0.593700,0.590107
0.902000,0.000000,-0.004214,-0.000000,0.000858,0.593700,0.590191
0.904000,0.000000,-0.004193,-0.000000,0.000858,0.593700,0.590274
0.906000,0.000000,-0.004173,-0.000000,0.000857,0.593700,0.590357
0.908000,0.000000,-0.004153,-0.000000,0.000857,0.593700,0.590438
0.910000,0.000000,-0.004133,-0.000000,0.000856,0.593700,0.590519
0.912000,0.000000,-0.004113,-0.000000,0.000856,0.593700,0.590599
